 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 235092.88 sec)
0.023	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.026	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.026	                       -	                   -	Blocking app contact
0.108	                       -	                   -	Successfully read encryption key from keychain in 0.085369 seconds
0.597	                       -	                   -	server_show_windows_for_asns start
0.597	                       -	                   -	Allowing apps to contact us
0.598	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.598	                       -	                   -	Still waiting for registration from Finder
0.599	                       -	                   -	Liveness: 2 -> 3 (add_app)
0.599	                       -	                   -	Finder not yet launched, but pretending it is
0.698	                       -	                   -	_LSSetApplicationInformationItem(kLSDefaultSessionID, asn, _kLSApplicationIsHiddenKey, hidden ? kCFBooleanTrue : kCFBooleanFalse, NULL) produced OSStatus -50 on line 675 in TCApplication.m
0.698	                       -	                   -	_LSSetApplicationInformationItem(kLSDefaultSessionID, asn, TAL_kLSIsProxiedForTALKey, kCFBooleanTrue, NULL) produced OSStatus -50 on line 678 in TCApplication.m
1.994	                       -	                   -	loginwindow launched no apps (but we still have to handle Finder)
2.010	                       -	                   -	Bitmaps Ready (0 apps, 1 windows)
2.010	                       -	                   -	server_show_windows_for_asns end
2.105	                       -	                   -	TAL launch still in progress because Finder has not checked in
2.105	                       -	                   -	Still waiting for registration from Finder
2.106	                       -	                   -	TAL launch still in progress because Finder has not checked in
2.106	                       -	                   -	Still waiting for registration from Finder
2.106	        com.apple.finder	           Launching	
2.110	                       -	                   -	Observed Finder launching for real
2.110	        com.apple.finder	           Connected	
2.110	                       -	                   -	Acquired designated connection from pid 2117 (app is <TCApplication: 0x7fc97855d030 (com.apple.finder)>)
2.718	        com.apple.finder	                   -	Reported finished launching.
2.753	                       -	                   -	TAL launch still in progress because Finder has not checked in
2.753	                       -	                   -	Still waiting for registration from Finder
3.026	                       -	                   -	Liveness: 3 -> 2 (__create_xpc_listener_block_invoke)
4.111	        com.apple.finder	   Requested windows	1 window.
4.112	        com.apple.finder	 Transferred windows	
4.125	        com.apple.finder	       Ready to Draw	
4.126	        com.apple.finder	                   -	Finder checked in
4.126	                       -	                   -	All started apps have registered (no remaining unregistered apps)
4.127	                       -	                   -	TAL Relaunch - all apps registered as ready
5.131	        com.apple.finder	            Disposed	
7.131	                       -	                   -	Liveness: 2 -> 1 (__remove_app_block_invoke)
15.024	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
15.025	                       -	                   -	Exiting out of boredom
